name,triangles,faces,vertices,edges
39-L,787229,787229,2361687,2361687
39-R,914639,914639,2743917,2743917
390-L,910355,910355,2731065,2731065
390-R,644542,644542,1933626,1933626
391-L,1193292,1193292,3579876,3579876
391-R,765540,765540,2296620,2296620
392-L,1094470,1094470,3283410,3283410
392-R,1046467,1046467,3139401,3139401
394-R,798943,798943,2396829,2396829
395-L,840601,840601,2521803,2521803
395-R,553243,553243,1659729,1659729
396-L,806889,806889,2420667,2420667
396-R,928058,928058,2784174,2784174
397-L,1094941,1094941,3284823,3284823
397-R,908301,908301,2724903,2724903
398-L,1010979,1010979,3032937,3032937
398-R,912149,912149,2736447,2736447
399-L,1020126,1020126,3060378,3060378
399-R,1016547,1016547,3049641,3049641
4-L,960680,960680,2882040,2882040
4-R,1128567,1128567,3385701,3385701
40-L,1444929,1444929,4334787,4334787
40-R,1223280,1223280,3669840,3669840
400-L,813099,813099,2439297,2439297
400-R,769922,769922,2309766,2309766
401-L,1112268,1112268,3336804,3336804
401-R,913875,913875,2741625,2741625
403-L,738597,738597,2215791,2215791
403-R,929625,929625,2788875,2788875
404-L,511367,511367,1534101,1534101
404-R,467205,467205,1401615,1401615
405-L,736950,736950,2210850,2210850
405-R,905204,905204,2715612,2715612
406-L,1159846,1159846,3479538,3479538
406-R,1196051,1196051,3588153,3588153
407-L,681670,681670,2045010,2045010
407-R,572627,572627,1717881,1717881
408-L,709730,709730,2129190,2129190
408-R,637485,637485,1912455,1912455
409-L,898815,898815,2696445,2696445
409-R,896837,896837,2690511,2690511
41-L,761675,761675,2285025,2285025
41-R,839805,839805,2519415,2519415
410-L,961071,961071,2883213,2883213
410-R,1052739,1052739,3158217,3158217
411-R,472613,472613,1417839,1417839
412-L,1027203,1027203,3081609,3081609
412-R,943469,943469,2830407,2830407
415-L,937214,937214,2811642,2811642
415-R,936374,936374,2809122,2809122
416-L,947255,947255,2841765,2841765
416-R,1114237,1114237,3342711,3342711
417-L,1222350,1222350,3667050,3667050
417-R,1112128,1112128,3336384,3336384
418-L,1104904,1104904,3314712,3314712
418-R,1086123,1086123,3258369,3258369
42-L,741078,741078,2223234,2223234
42-R,740640,740640,2221920,2221920
420-L,856668,856668,2570004,2570004
420-R,821877,821877,2465631,2465631
421-L,1024338,1024338,3073014,3073014
421-R,1085330,1085330,3255990,3255990
422-L,949551,949551,2848653,2848653
422-R,1095727,1095727,3287181,3287181
423-R,1497703,1497703,4493109,4493109
424-R,360641,360641,1081923,1081923
426-L,998060,998060,2994180,2994180
426-R,995269,995269,2985807,2985807
427-R,1047241,1047241,3141723,3141723
428-L,1008987,1008987,3026961,3026961
428-R,1241875,1241875,3725625,3725625
429-L,658772,658772,1976316,1976316
429-R,1050391,1050391,3151173,3151173
43-L,875570,875570,2626710,2626710
43-R,758405,758405,2275215,2275215
430-L,696135,696135,2088405,2088405
430-R,1138721,1138721,3416163,3416163
431-L,921315,921315,2763945,2763945
431-R,833305,833305,2499915,2499915
432-L,1082192,1082192,3246576,3246576
432-R,969145,969145,2907435,2907435
434-L,789848,789848,2369544,2369544
434-R,874816,874816,2624448,2624448
435-R,1103251,1103251,3309753,3309753
436-L,1070863,1070863,3212589,3212589
436-R,1002775,1002775,3008325,3008325
437-L,908844,908844,2726532,2726532
437-R,942215,942215,2826645,2826645
438-L,753150,753150,2259450,2259450
438-R,849727,849727,2549181,2549181
439-L,1119132,1119132,3357396,3357396
439-R,1375776,1375776,4127328,4127328
44-L,893666,893666,2680998,2680998
44-R,1020864,1020864,3062592,3062592
440-L,678108,678108,2034324,2034324
440-R,949718,949718,2849154,2849154
441-L,982298,982298,2946894,2946894
441-R,817425,817425,2452275,2452275
442-L,573339,573339,1720017,1720017
442-R,908624,908624,2725872,2725872
443-L,770409,770409,2311227,2311227
444-L,967486,967486,2902458,2902458
445-R,1192454,1192454,3577362,3577362
446-R,736741,736741,2210223,2210223
447-L,903589,903589,2710767,2710767
447-R,1085311,1085311,3255933,3255933
448-L,1067737,1067737,3203211,3203211
448-R,984988,984988,2954964,2954964
449-L,1044099,1044099,3132297,3132297
449-R,1116176,1116176,3348528,3348528
45-L,1280761,1280761,3842283,3842283
45-R,1244046,1244046,3732138,3732138
450-L,962550,962550,2887650,2887650
450-R,844100,844100,2532300,2532300
451-L,859667,859667,2579001,2579001
451-R,917181,917181,2751543,2751543
